Ingredient,Website,Value
4-Chlororesorcinol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1af63e9d-9778-ec11-8d21-000d3a991547,
4-Chlororesorcinol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=84de25e7-936e-4c15-9da6-2acb924d2d0e,
4-Hydroxybenzoic Acid,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=5ce58b93-04c3-4aa7-8a91-912227ba6f32,
4-Hydroxypropylamino-3-Nitrophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=232d97ca-a20a-4526-a3b4-aef5c9c55fb2,
4-Methoxy-m-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=5fb7939c-df8d-4283-b9e9-45cef73759f3,
4-Methoxy-m-Phenylenediamine Sulfate,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=c1838f1d-ef27-46d0-9cdc-89a856dd2277,
4-Methoxy-m-Phenylenediamine-HCI,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=5a08f95e-036f-4472-bdd9-125a27d6b69c,
4-Nitro-m-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=34f197ac-c3bc-408a-8001-5c84e8983a5b,
4-Nitro-m-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=d216a3b0-7c10-443a-a466-e5f85bce6c90,
4-Nitro-o-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=8d75d9ea-c67a-ec11-8d21-000d3a991547,
4-Nitro-o-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0ec3021a-9d9f-40ed-8d85-5c509b23fcb5,
5-Amino-4-Chloro-o-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=c672931c-f7bd-ed11-83ff-00224824e39e,
5-Amino-4-Chloro-o-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=a286eba3-48fa-4ba9-8a1e-93b9e855dd4a,
5-Amino-4-Chloro-o-Cresol HCl,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=12499228-f7bd-ed11-83ff-00224824e39e,
5-Amino-6-Chloro-o-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=a73b31bd-e5bd-ed11-83ff-00224824e39e,
5-Amino-6-Chloro-o-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=6ea5daee-1e81-4862-a20d-3d8abd0cc9ae,
"5-Bromo-5-Nitro-1,3-Dioxane",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=9a047ec9-237a-ec11-8d21-0022482fd227,
"5-Bromo-5-Nitro-1,3-Dioxane",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=85e0f0cf-0c8b-4b5d-8bc2-dc7617978b34,
6-Amino-m-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=42cc4d10-1777-ed11-81ab-000d3a983f18,
6-Amino-m-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e402b8b2-4f1d-4428-9d44-4b79927db6c5,
6-Amino-o-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=5274c358-1777-ed11-81ab-000d3a983f18,
6-Amino-o-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=3b243035-557a-49df-a2f4-2eafc0525dbe,
6-Amino-o-Cresol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=4ed8b752-e930-4656-a924-de99cc6d79fc,
6-Hydroxyindole,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0291cd73-e9cc-41c1-9d78-7e4d6709c538,
Acacia Catechu,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=db49395b-e1d5-4f49-8cc4-9f46ff275907,
Acacia Catechu Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e80685b6-322c-486e-9e43-3a421fb955b4,
Acacia Catechu Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=f92d9d2c-a7d8-484d-870a-67e150512290,
Acacia Catechu Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=8958ae9a-851b-4d83-9f62-76cf8dc3af01,
Acacia Concinna,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0a1aa0f9-b1b1-4a92-9e24-e4e97ff90a1b,
Acacia Concinna,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=b84a568b-50da-4fb4-b3c4-f9551fde0793,
Acacia Concinna Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=80c972a0-577a-4884-8c4d-211f29a098eb,
Acacia Concinna Fruit Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=63514e63-6517-43ff-8566-457ed951e843,
Acacia Concinna Fruit Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=4f2da812-8098-48d3-8dce-6549c7a4e945,
Acacia Dealbata,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=3c1d642e-73a5-4144-baf6-8fe6f6743e57,
Acacia Dealbata,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1f3527bb-c313-4239-9b6b-9387730bc315,
Acacia Dealbata Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1efa9d3d-2b0e-4305-a472-8f3ed4d9f87b,
Acacia Dealbata Leaf Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=ef6098d9-502e-4234-a969-25687ef8a07b,
Acacia Dealbata Leaf Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0139e34f-c984-43ea-a8e0-9fdbfc49dc89,
Acacia Dealbata Leaf Wax,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=339c76f9-49a2-427b-9a12-41c915decd9d,
Acacia Dealbata Leaf Wax,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=29e75703-a343-4831-9618-f2d939ca73d8,
Acacia Decurrens,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=14ef418b-6d7e-4ae0-b6bb-0e4f84a42fd8,
Acacia Decurrens,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=d5c25a52-66a1-4c38-867d-180297b501d0,
Acacia Decurrens,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0300b699-09be-40a4-80e4-645f34a07f29,
Acacia Decurrens Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=c86345ca-fd4d-4bac-a042-42176130b5d1,
Acacia Decurrens Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e775cc1c-6b82-4549-9834-7430626ee72c,
Acacia Decurrens Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=4ade7ad3-4dfe-4d2f-bdb4-7e105dcdf040,
Acacia Farnesiana,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=dbef23d2-40df-4ee5-bb96-807712244b0c,
Acacia Farnesiana,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=f923dd16-78d0-43bc-a15e-fe35403c596b,
Acacia Farnesiana Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=87a4cdfa-20ab-4975-9273-5beca3bc49b7,
Acacia Farnesiana Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=acb6d557-9f5b-4cfa-b15f-f62eff3add74,
Acacia Farnesiana Flower Wax,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e9cb237d-24be-4eb5-b805-3b645027ac0c,
Acacia Farnesiana Flower Wax,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=6bd0f300-bfdc-4e7f-9468-7dcfba0bde20,
Acacia Farnesiana Flower/Stem Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0e9fa803-e3f3-4f15-9c77-9033aa06f91d,
Acacia Farnesiana Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=80aaf866-3f12-4ccc-981e-073036d2f860,
Acacia Farnesiana Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=fb1bce06-00c3-4431-a523-b1810bfddc29,
Acacia Senegal,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e97a71cd-ec24-4e26-b6ae-324e7b597a54,
Acacia Senegal,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=4a33eb45-b3b6-4969-a0a2-ec5a0e636c5a,
Acacia Senegal Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=ad4dc545-1d18-45a5-9c67-6972fbdf27a7,
Acacia Senegal Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=f1e92886-6dfc-48fc-a98c-fe95b54858c8,
Acacia Senegal Flower/Stem Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=a505f2cb-7603-446c-9ff0-95f468979a9f,
Acacia Senegal Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=b78d3d8f-c353-ee11-be6f-002248227d1f,
Acacia Senegal Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=a2b1cad0-587b-46b7-aa06-38d77ec8f91c,
Acacia Senegal Gum,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=a8cf75a6-3f57-40fb-ac00-87d45c902cdd,
Acacia Senegal Gum Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=8472ffa1-c353-ee11-be6f-002248227d1f,
Acacia Senegal Gum Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=4c4cb444-b2a8-4e00-9875-52ad85ac7ddb,
Acacia Senegal Gum Extract,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=9fce5e5b-ee95-40d4-ad38-6e00f9ba2e5a,
Acetamide MEA,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=a3047ec9-237a-ec11-8d21-0022482fd227,
Acetamide MEA,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=6cc1d160-519d-4a9a-9248-752625a6e49a,
Acetamide MEA,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=30176a30-812e-4ccf-be9f-893495b39f40,
Acetic Acid,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=5cd5b22a-d48b-4e6b-ba06-92c85d2060b3,
Acetic/Linoleic/Palmitic Triglyceride,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=b0e7571e-2d72-4a2b-a1c6-0c1428da9486,
